A Array Name	A UniGene Cluster	A Probe Set Name	B Array Name	B UniGene Cluster	B Probe Set Name	Percent Identity	Match	MinLen(Rep(A),Rep(B))	A Matches B Probe Selection Region	A Total Probes in Probe Set	B Matches A Probe Selection Region	B Total Probes in Probe Set	A Matches B Representative	B Matches A Representative	SIF Percent Identity	SIF Match	MinLen(SIF(A),SIF(B))	Good Match	Best Match
HG-U95Av2		1048_at	HG-U133A	Hs.26550	205954_at	100	1594	1594	12	16	11	11	16	11	100	163	190	Y	Y
HG-U95Av2		1049_g_at	HG-U133A	Hs.26550	205954_at	100	1594	1594	16	16	11	11	16	11	100	323	323	Y	Y
HG-U95Av2		1050_at	HG-U133A	Hs.154069	206426_at	100	1524	1524	11	16	11	11	16	11	100	402	466	Y	Y
HG-U95Av2		1051_g_at	HG-U133A	Hs.154069	206426_at	100	1524	1524	13	16	11	11	16	11	100	157	167	Y	Y
HG-U95Av2		1052_s_at	HG-U133A	Hs.76722	203973_s_at	99	1226	1247	16	16	9	11	16	9	99	434	439	Y	Y
HG-U95Av2		1053_at	HG-U133A	Hs.139226	203696_s_at	100	1709	1709	13	16	11	11	16	11	100	233	233	Y	Y
HG-U95Av2		1054_at	HG-U133A	Hs.35120	204023_at	100	1446	1446	14	16	11	11	16	11	100	263	283	Y	Y
HG-U95Av2		1055_g_at	HG-U133A	Hs.35120	204023_at	100	1446	1446	16	16	11	11	16	11	100	263	267	Y	Y
HG-U95Av2		1056_s_at	HG-U133A	Hs.82127	209828_s_at	100	3175	3175	15	16	11	11	16	11	100	528	531	Y	Y
HG-U95Av2		1057_at	HG-U133A	Hs.183650	202575_at	100	832	832	16	16	11	11	16	11	100	469	469	Y	Y
HG-U95Av2		1058_at	HG-U133A	Hs.82318	204042_at	99	1466	1485	16	16	11	11	16	11	99	383	437	Y	Y
HG-U95Av2		1059_at	HG-U133A	Hs.26776	217033_x_at	100	2715	2715	16	16	11	11	16	11	100	533	533	Y	Y
HG-U95Av2		105_at	HG-U133A	Hs.83623	207007_at	100	1047	1047	13	16	10	11	16	10	100	309	415	Y	Y
HG-U95Av2		1060_g_at	HG-U133A	Hs.26776	217033_x_at	100	2715	2715	16	16	11	11	16	11	100	191	191	Y	Y
HG-U95Av2		1061_at	HG-U133A	Hs.327	204912_at	100	3632	3632	13	16	11	11	16	11	100	234	295	Y	Y
HG-U95Av2		1062_g_at	HG-U133A	Hs.327	204912_at	100	3632	3632	16	16	11	11	16	11	100	249	298	Y	Y
HG-U95Av2		1063_s_at	HG-U133A	Hs.301	211432_s_at	100	3031	3031	16	16	10	11	16	10	100	488	486	Y	Y
HG-U95Av2		1064_at	HG-U133A	Hs.82643	201745_at	100	3000	3000	16	16	11	11	16	11	100	419	427	Y	Y
HG-U95Av2		1065_at	HG-U133A	Hs.385	206674_at	100	3475	3475	16	16	11	11	16	11	100	389	389	Y	Y
HG-U95Av2		1066_at	HG-U133A	Hs.121544	206890_at	100	2100	2100	16	16	11	11	16	11	100	510	510	Y	Y
HG-U95Av2		1067_at	HG-U133A	Hs.428	210607_at	100	1079	1080	14	16	11	11	16	11	100	235	239	Y	Y
HG-U95Av2		1068_g_at	HG-U133A	Hs.428	206980_s_at	99	802	859	16	16	3	11	16	11	100	364	370	Y	Y
HG-U95Av2		1069_at	HG-U133A	Hs.196384	204748_at	100	4464	4465	16	16	11	11	16	11	100	313	313	Y	Y
HG-U95Av2		106_at	HG-U133A	Hs.170019	204197_s_at	100	3809	3809	15	16	11	11	16	11	100	508	508	Y	Y
HG-U95Av2		1070_at	HG-U133A		208066_s_at	100	1267	1268	16	16	11	11	16	11	100	295	295	Y	Y
HG-U95Av2		1071_at	HG-U133A	Hs.760	207954_at	100	2610	2610	16	16	11	11	16	11	100	125	125	Y	Y
HG-U95Av2		1072_g_at	HG-U133A	Hs.760	207954_at	100	2610	2610	16	16	11	11	16	11	0	0	0	Y	Y
HG-U95Av2		1073_at	HG-U133A	Hs.78869	216241_s_at	99	2516	2548	14	16	9	11	14	9	99	452	461	Y	Y
HG-U95Av2		1074_at	HG-U133A	Hs.3642	207791_s_at	100	723	723	14	16	11	11	16	11	100	214	214	Y	Y
HG-U95Av2		1075_f_at	HG-U133A	Hs.56303	208448_x_at	100	941	941	13	16	11	11	16	11	100	476	481	Y	Y
HG-U95Av2		1076_at	HG-U133A	Hs.1722	208200_at	100	2430	2430	16	16	11	11	16	11	100	321	379	Y	Y
HG-U95Av2		1077_at	HG-U133A	Hs.73958	206591_at	100	6545	6545	16	16	11	11	16	11	100	322	322	Y	Y
HG-U95Av2		1078_at	HG-U133A	Hs.1906	206346_at	100	2723	2723	12	16	11	11	16	11	100	474	474	Y	Y
HG-U95Av2		1079_g_at	HG-U133A	Hs.1906	206346_at	100	2723	2723	15	16	11	11	16	11	100	202	228	Y	Y
HG-U95Av2		107_at	HG-U133A	Hs.248013	215782_at	100	837	837	16	16	11	11	16	11	99	309	316	Y	Y
HG-U95Av2		1080_s_at	HG-U133A	Hs.1361	207609_s_at	100	1544	1548	11	16	11	11	13	11	100	484	511	Y	Y
HG-U95Av2		1081_at	HG-U133A	Hs.75212	200790_at	100	1386	1386	8	16	5	11	16	6	100	175	476	Y	Y
HG-U95Av2		1082_at	HG-U133A	Hs.268177	216551_x_at	100	2189	2419	11	16	8	11	16	8	100	275	487	Y	Y
HG-U95Av2		1083_s_at	HG-U133A		211695_x_at	100	283	543	6	16	4	11	6	7	100	110	428	Y	Y
HG-U95Av2		1084_at	HG-U133A	Hs.121521	206411_s_at	100	3849	3849	15	16	11	11	16	11	100	401	413	Y	Y
HG-U95Av2		1085_s_at	HG-U133A	Hs.75648	204613_at	100	4242	4242	15	16	11	11	16	11	100	544	545	Y	Y
HG-U95Av2		1087_at	HG-U133A	Hs.89548	209962_at	100	1624	1624	16	16	11	11	16	11	100	120	123	Y	Y
HG-U95Av2		1088_at	HG-U133A	Hs.56023	206382_s_at	100	1035	1335	14	16	10	11	15	11	100	523	538	Y	Y
HG-U95Av2		108_g_at	HG-U133A	Hs.248013	215782_at	100	837	837	14	16	11	11	16	11	99	312	316	Y	Y
HG-U95Av2		1091_at	HG-U133A	Hs.1519	212559_at	99	2342	2366	9	16	10	11	9	10	100	328	347	Y	Y
HG-U95Av2		1092_at	HG-U133A	Hs.1407	206758_at	100	1239	1240	16	16	11	11	16	11	100	367	367	Y	Y
HG-U95Av2		1093_at	HG-U133A	Hs.108705	202886_s_at	100	2239	2239	10	16	11	11	16	11	100	39	247	Y	Y
HG-U95Av2		1094_g_at	HG-U133A	Hs.108705	202886_s_at	100	2239	2239	16	16	11	11	16	11	100	219	225	Y	Y
HG-U95Av2		1095_s_at	HG-U133A	Hs.809	209961_s_at	100	2299	2306	3	16	5	11	3	11	0	0	0	Y	Y
HG-U95Av2		1096_g_at	HG-U133A	Hs.96023	206398_s_at	100	1908	1922	16	16	9	11	16	11	100	319	392	Y	Y
HG-U95Av2		1097_s_at	HG-U133A	Hs.1652	206337_at	100	2013	2047	15	16	11	11	16	11	100	556	560	Y	Y
HG-U95Av2		1098_at	HG-U133A	Hs.1166	211155_s_at	100	1530	1652	10	16	11	11	10	11	100	241	246	Y	Y
HG-U95Av2		1099_s_at	HG-U133A	Hs.1581	205439_at	100	1036	1036	14	16	11	11	16	11	100	424	424	Y	Y
HG-U95Av2		109_at	HG-U133A	Hs.19012	203150_at	100	1297	1297	14	16	11	11	16	11	100	481	487	Y	Y
HG-U95Av2		1100_at	HG-U133A	Hs.182018	201587_s_at	100	3583	3583	16	16	11	11	16	11	100	352	368	Y	Y
HG-U95Av2		1101_at	HG-U133A	Hs.3763	202652_at	100	2642	2654	15	16	11	11	16	11	100	443	457	Y	Y
HG-U95Av2		1102_s_at	HG-U133A	Hs.75772	201866_s_at	100	4788	4788	16	16	11	11	16	11	100	365	369	Y	Y
HG-U95Av2		1103_at	HG-U133A	Hs.154730	205141_at	100	729	729	16	16	11	11	16	11	100	391	391	Y	Y
HG-U95Av2		1104_s_at	HG-U133A	Hs.8997	200800_s_at	100	2384	2387	16	16	11	11	16	11	100	146	182	Y	Y
HG-U95Av2		1106_s_at	HG-U133A	Hs.74647	209670_at	100	1524	1524	15	16	11	11	16	11	100	372	372	Y	Y
HG-U95Av2		1107_s_at	HG-U133A	Hs.833	205483_s_at	100	634	634	15	16	11	11	16	11	100	432	432	Y	Y
HG-U95Av2		1108_s_at	HG-U133A	Hs.89839	205977_s_at	100	3370	3370	14	16	11	11	16	11	100	343	343	Y	Y
HG-U95Av2		1109_s_at	HG-U133A	Hs.37040	216867_s_at	100	580	591	4	16	5	11	14	5	100	203	528	Y	Y
HG-U95Av2		1110_at	HG-U133A	Hs.2014	217143_s_at	100	764	1161	16	16	11	11	16	11	100	291	333	Y	Y
HG-U95Av2		1113_at	HG-U133A	Hs.73853	205290_s_at	100	1547	1547	14	16	11	11	16	11	100	368	451	Y	Y
HG-U95Av2		1114_at	HG-U133A	Hs.68879	211518_s_at	100	1301	1400	16	16	11	11	16	11	100	389	389	Y	Y
HG-U95Av2		1115_at	HG-U133A	Hs.81564	206390_x_at	100	439	439	16	16	11	11	16	11	100	287	287	Y	Y
HG-U95Av2		1117_at	HG-U133A	Hs.72924	205627_at	100	891	892	15	16	11	11	16	11	100	396	415	Y	Y
HG-U95Av2		1119_at	HG-U133A	Hs.79411	201756_at	100	1512	1512	14	16	11	11	16	11	100	251	277	Y	Y
HG-U95Av2		111_at	HG-U133A	Hs.78920	203573_s_at	100	2067	2067	14	16	11	11	16	11	100	177	223	Y	Y
HG-U95Av2		1120_at	HG-U133A	Hs.2006	202554_s_at	99	1247	1266	5	16	3	11	12	11	100	63	283	Y	Y
HG-U95Av2		1122_f_at	HG-U133A	Hs.172944	205387_s_at	99	493	498	12	16	5	11	12	5	99	339	343	Y	Y
HG-U95Av2		1123_at	HG-U133A	Hs.767	207825_s_at	100	1617	1617	15	16	11	11	16	11	100	357	357	Y	Y
HG-U95Av2		1124_at	HG-U133A	Hs.199160	212076_at	100	14254	14254	14	16	11	11	16	11	100	404	457	Y	Y
HG-U95Av2		1125_s_at	HG-U133A	Hs.169610	212014_x_at	100	1953	2007	4	16	10	11	16	10	100	48	191	Y	Y
HG-U95Av2		1126_s_at	HG-U133A	Hs.169610	212014_x_at	100	993	1086	16	16	7	11	16	7	100	168	168	Y	Y
HG-U95Av2		1127_at	HG-U133A	Hs.149957	203379_at	100	3061	3061	12	16	11	11	16	11	100	466	466	Y	Y
HG-U95Av2		1129_at	HG-U133A	Hs.36993	217011_at	100	827	827	16	16	11	11	16	11	100	427	427	Y	Y
HG-U95Av2		1130_at	HG-U133A	Hs.3446	202670_at	99	2159	2222	15	16	9	11	15	9	100	407	439	Y	Y
HG-U95Av2		1131_at	HG-U133A	Hs.72241	202424_at	100	1563	1576	15	16	11	11	15	11	100	505	505	Y	Y
HG-U95Av2		1132_s_at	HG-U133A	Hs.1497	204188_s_at	100	1235	1576	14	16	8	11	14	11	100	366	500	Y	Y
HG-U95Av2		1134_at	HG-U133A	Hs.153937	203839_s_at	100	4545	4545	14	16	11	11	16	11	100	485	485	Y	Y
HG-U95Av2		1135_at	HG-U133A	Hs.211569	204396_s_at	100	2557	2557	15	16	11	11	16	11	100	381	381	Y	Y
HG-U95Av2		1136_at	HG-U133A	Hs.79006	203270_at	99	977	1000	10	16	6	11	11	11	100	328	513	Y	Y
HG-U95Av2		1137_at	HG-U133A	Hs.10018	202744_at	100	3175	3175	12	16	11	11	16	11	100	457	457	Y	Y
HG-U95Av2		1138_at	HG-U133A	Hs.78452	201920_at	100	3220	3220	15	16	11	11	16	11	100	488	499	Y	Y
HG-U95Av2		1139_at	HG-U133A	Hs.1666	206917_at	100	1402	1402	14	16	11	11	16	11	100	358	359	Y	Y
HG-U95Av2		1140_at	HG-U133A	Hs.851	205055_at	100	3857	3927	15	16	11	11	16	11	100	451	463	Y	Y
HG-U95Av2		1141_at	HG-U133A	Hs.248145	208565_at	100	978	978	13	16	10	11	16	10	100	475	490	Y	Y
HG-U95Av2		1142_at	HG-U133A	Hs.278581	208229_at	100	3018	3023	7	16	10	11	10	10	99	232	284	Y	Y
HG-U95Av2		1143_s_at	HG-U133A	Hs.278581	208228_s_at	100	3244	3244	12	16	11	11	16	11	100	358	358	Y	Y
HG-U95Av2		1144_at	HG-U133A	Hs.278581	208225_at	100	1541	1541	16	16	11	11	16	11	100	349	349	Y	Y
HG-U95Av2		1145_g_at	HG-U133A	Hs.278581	208234_x_at	99	1012	1541	15	16	3	11	15	3	99	108	115	Y	Y
HG-U95Av2		1147_at	HG-U133A	Hs.144630	209505_at	100	2121	2151	9	16	11	11	16	11	100	223	358	Y	Y
HG-U95Av2		1148_s_at	HG-U133A	Hs.172816	206343_s_at	100	680	1860	16	16	11	11	16	11	100	318	318	Y	Y
HG-U95Av2		1151_at	HG-U133A	Hs.99914	220960_x_at	100	602	602	14	16	11	11	16	11	100	511	525	Y	Y
HG-U95Av2		1152_i_at	HG-U133A	Hs.172944	205387_s_at	100	539	539	6	6	11	11	6	11	100	32	32	Y	Y
HG-U95Av2		1153_f_at	HG-U133A	Hs.172944	205387_s_at	100	539	539	16	16	11	11	16	11	100	348	348	Y	Y
HG-U95Av2		1154_at	HG-U133A	Hs.151777	201144_s_at	100	1393	1393	15	16	11	11	16	11	100	464	481	Y	Y
HG-U95Av2		1155_at	HG-U133A	Hs.72931	207915_at	100	2935	2935	11	16	11	11	16	11	100	476	476	Y	Y
HG-U95Av2		1157_s_at	HG-U133A	Hs.1513	204191_at	100	2755	2755	16	16	11	11	16	11	100	84	87	Y	Y
HG-U95Av2		1158_s_at	HG-U133A	Hs.141011	200623_s_at	100	2170	2170	14	16	11	11	16	11	100	338	338	Y	Y
HG-U95Av2		1159_at	HG-U133A	Hs.72927	206693_at	100	1589	1589	15	16	11	11	16	11	100	478	478	Y	Y
HG-U95Av2		115_at	HG-U133A	Hs.87409	201108_s_at	100	3513	3513	12	16	5	11	16	5	100	210	432	Y	Y
HG-U95Av2		1160_at	HG-U133A	Hs.289271	201066_at	100	978	978	12	16	8	11	16	9	100	361	495	Y	Y
HG-U95Av2		1161_at	HG-U133A	Hs.74335	200064_at	100	1899	2017	12	16	9	11	16	10	100	323	478	Y	Y
HG-U95Av2		1161_at	HG-U133B	Hs.74335	200064_at	100	1899	2017	12	16	9	11	16	10	100	323	478	Y	Y
HG-U95Av2		1162_g_at	HG-U133A	Hs.83147	203307_at	100	1968	1968	15	16	11	11	16	11	100	113	139	Y	Y
HG-U95Av2		1165_at	HG-U133A	Hs.83077	206295_at	100	1101	1102	12	16	11	11	16	11	100	226	301	Y	Y
HG-U95Av2		1166_at	HG-U133A	Hs.74619	200830_at	100	2824	2828	15	16	10	11	15	10	100	451	483	Y	Y
HG-U95Av2		116_at	HG-U133A	Hs.289075	204843_s_at	100	1215	1215	6	16	4	11	16	5	100	234	539	Y	Y
HG-U95Av2		1170_at	HG-U133A	Hs.173894	207082_at	100	1462	1464	14	16	9	11	14	9	99	551	553	Y	Y
HG-U95Av2		1171_s_at	HG-U133A	Hs.182237	206789_s_at	100	2484	2584	13	16	11	11	16	11	100	515	515	Y	Y
HG-U95Av2		1172_at	HG-U133A	Hs.28491	210593_at	100	978	978	15	16	11	11	16	11	100	239	239	Y	Y
HG-U95Av2		1173_g_at	HG-U133A	Hs.28491	210592_s_at	100	978	978	12	16	11	11	16	11	100	265	268	Y	Y
HG-U95Av2		1174_at	HG-U133A	Hs.248146	221367_at	100	1041	1041	16	16	11	11	16	11	100	446	453	Y	Y
HG-U95Av2		1175_s_at	HG-U133A		208147_s_at	100	1848	1866	14	16	11	11	16	11	100	404	417	Y	Y
HG-U95Av2		1176_at	HG-U133A	Hs.87149	216261_at	100	757	757	16	16	11	11	16	11	100	235	235	Y	Y
HG-U95Av2		1178_at	HG-U133A	Hs.83765	202534_x_at	100	3493	3493	14	16	11	11	16	11	100	78	124	Y	Y
HG-U95Av2		1179_at	HG-U133A	Hs.180414	208687_x_at	100	2083	2085	16	16	8	11	16	11	100	154	154	Y	Y
HG-U95Av2		117_at	HG-U133A	Hs.3268	213418_at	99	1912	1932	12	16	6	11	12	6	99	332	445	Y	Y
HG-U95Av2		1180_g_at	HG-U133B	Hs.180414	224187_x_at	99	771	923	16	16	11	11	16	11	100	345	353	Y	Y
HG-U95Av2		1181_at	HG-U133A	Hs.83147	203307_at	100	1968	1968	16	16	11	11	16	11	100	403	406	Y	Y
HG-U95Av2		1182_at	HG-U133A	Hs.153322	205934_at	100	4565	4565	16	16	11	11	16	11	100	357	373	Y	Y
HG-U95Av2		1183_at	HG-U133A	Hs.66742	207900_at	100	538	538	16	16	11	11	16	11	100	368	403	Y	Y
HG-U95Av2		1184_at	HG-U133A	Hs.179774	201762_s_at	100	827	828	14	16	11	11	16	11	100	295	295	Y	Y
HG-U95Av2		1185_at	HG-U133A	Hs.172689	206148_at	100	1352	1460	7	16	5	11	10	11	100	165	361	Y	Y
HG-U95Av2		1186_at	HG-U133A	Hs.2171	206159_at	100	2634	2634	14	16	11	11	16	11	100	418	418	Y	Y
HG-U95Av2		1187_at	HG-U133A	Hs.100299	204123_at	100	3402	3412	16	16	11	11	16	11	100	328	331	Y	Y
HG-U95Av2		1188_g_at	HG-U133A	Hs.100299	204123_at	100	3402	3412	16	16	11	11	16	11	100	100	137	Y	Y
HG-U95Av2		118_at	HG-U133A	Hs.2722	205874_at	100	1386	1386	7	16	4	11	16	4	100	196	543	Y	Y
HG-U95Av2		1191_s_at	HG-U133A	Hs.90744	208777_s_at	100	1421	1450	16	16	9	11	16	11	100	149	149	Y	Y
HG-U95Av2		1192_at	HG-U133A	Hs.4295	202353_s_at	100	3548	3548	15	16	11	11	16	11	100	526	526	Y	Y
HG-U95Av2		1193_at	HG-U133A	Hs.180686	212278_x_at	100	326	605	3	16	4	11	3	4	100	124	370	Y	Y
HG-U95Av2		1195_s_at	HG-U133A	Hs.173274	203337_x_at	100	1272	1270	14	16	11	11	16	11	100	425	425	Y	Y
HG-U95Av2		1196_at	HG-U133A	Hs.84746	206499_s_at	100	2163	2167	15	16	11	11	16	11	100	443	445	Y	Y
HG-U95Av2		1197_at	HG-U133A	Hs.78045	202274_at	100	1131	1131	14	16	9	11	16	10	100	391	445	Y	Y
HG-U95Av2		1198_at	HG-U133A	Hs.82002	204273_at	100	4049	4049	16	16	11	11	16	11	100	410	444	Y	Y
HG-U95Av2		1199_at	HG-U133A	Hs.129673	201530_x_at	100	1383	1383	15	16	11	11	16	11	100	320	445	Y	Y
HG-U95Av2		1200_at	HG-U133A	Hs.111867	208057_s_at	100	2105	2105	16	16	11	11	16	11	100	373	382	Y	Y
HG-U95Av2		1201_at	HG-U133A	Hs.56294	206039_at	100	1282	1283	16	16	11	11	16	11	100	265	265	Y	Y
HG-U95Av2		1202_g_at	HG-U133A	Hs.56294	206039_at	100	1282	1283	16	16	11	11	16	11	100	233	233	Y	Y
HG-U95Av2		1204_at	HG-U133A	Hs.89462	206395_at	100	3757	3758	16	16	11	11	16	11	100	384	384	Y	Y
HG-U95Av2		1205_at	HG-U133A	Hs.123058	207888_at	100	1558	1558	12	16	11	11	16	11	100	541	541	Y	Y
HG-U95Av2		1206_at	HG-U133A	Hs.166071	204247_s_at	100	879	879	15	16	11	11	16	11	100	375	375	Y	Y
HG-U95Av2		1207_at	HG-U133A	Hs.38481	207143_at	100	981	981	6	16	7	11	16	8	100	247	397	Y	Y
HG-U95Av2		1209_at	HG-U133A	Hs.90957	205558_at	100	2264	2264	16	16	11	11	16	11	100	389	389	Y	Y
HG-U95Av2		1212_at	HG-U133A	Hs.26403	209531_at	100	1052	1126	14	16	10	11	14	11	100	516	533	Y	Y
HG-U95Av2		1213_at	HG-U133A	Hs.78353	203182_s_at	100	3745	3745	16	16	11	11	16	11	100	475	475	Y	Y
HG-U95Av2		1214_s_at	HG-U133A	Hs.93177	208173_at	99	749	757	15	16	10	11	16	10	100	464	464	Y	Y
HG-U95Av2		121_at	HG-U133A	Hs.73149	209552_at	99	2669	2707	14	16	10	11	15	10	100	315	361	Y	Y
HG-U95Av2		1222_at	HG-U133A	Hs.301511	206474_at	100	1572	1572	15	16	9	11	16	9	100	464	481	Y	Y
HG-U95Av2		1224_at	HG-U133A	Hs.171834	207239_s_at	100	1491	1491	16	16	10	11	16	10	100	271	271	Y	Y
HG-U95Av2		1225_g_at	HG-U133A	Hs.171834	207239_s_at	100	1491	1491	16	16	10	11	16	10	100	116	116	Y	Y
HG-U95Av2		1227_g_at	HG-U133A	Hs.64311	205746_s_at	100	2887	2942	16	16	10	11	16	11	100	337	337	Y	Y
HG-U95Av2		1228_s_at	HG-U133A	Hs.117242	215930_s_at	99	2785	2814	16	16	11	11	16	11	100	427	427	Y	Y
HG-U95Av2		1229_at	HG-U133A	Hs.166066	205076_s_at	100	2739	2732	14	16	11	11	16	11	100	262	307	Y	Y
HG-U95Av2		1230_g_at	HG-U133A	Hs.166066	205076_s_at	100	2739	2732	16	16	11	11	16	11	100	184	202	Y	Y
HG-U95Av2		1231_at	HG-U133A	Hs.811	202335_s_at	100	2591	2591	15	16	11	11	16	11	100	567	567	Y	Y
HG-U95Av2		1232_s_at	HG-U133A	Hs.102122	205302_at	100	1514	1514	15	16	10	11	16	10	100	500	526	Y	Y
HG-U95Av2		1233_s_at	HG-U133A	Hs.83341	202685_s_at	100	3204	3227	14	16	11	11	16	11	100	208	286	Y	Y
HG-U95Av2		1234_at	HG-U133A	Hs.123642	206071_s_at	100	3149	3149	14	16	11	11	16	11	100	342	426	Y	Y
HG-U95Av2		1235_at	HG-U133A	Hs.75103	200640_at	100	2834	2834	16	16	11	11	16	11	100	264	271	Y	Y
HG-U95Av2		1236_s_at	HG-U133A	Hs.93207	204325_s_at	99	4636	8959	15	16	11	11	16	11	100	490	490	Y	Y
HG-U95Av2		1237_at	HG-U133A	Hs.76095	201631_s_at	100	1216	1223	10	16	10	11	10	10	99	521	540	Y	Y
