P Rank	Array_No	Symbol	Chromosome	TrainingMeans	Probe Set ID	PC1	PC2	PC3	PC4	PC5	PC6
19	225834_at	MGC57827	1q21	8.870106067	225834_at	-0.244008222572744	0.026940495223140	-0.160518056471669	-0.147168094276101	-0.040081317509889	-0.076956171492847
20	238952_x_at	DKFZp779O175	19q13.12	7.957078831	238952_x_at	-0.024370947054843	-0.061358202966379	-0.065794400483940	-0.064531898566591	0.046086909318631	-0.092292776131631
21	200634_at	PFN1	17p13.3	12.601214200	200634_at	-0.070540192971829	0.038059468022489	0.033045078687934	0.118818532757802	0.001402582703396	-0.005502078368839
22	208931_s_at	ILF3	19p13.2	10.346749440	208931_s_at	-0.062997977356835	0.042964184595679	0.019349194162372	0.014431736159960	-0.028415827192795	0.080840666508638
23	206332_s_at	IFI16	1q22	12.266836010	206332_s_at	-0.066871110607748	0.030661378232029	0.029052250513569	0.046884337711168	0.000807635650178	-0.019191202776401
24	220789_s_at	TBRG4	7p14-p13	8.052880928	220789_s_at	-0.145167984792474	0.104437788404971	0.212614530124278	-0.099343869420497	0.089312980575532	0.423809131483104
25	218947_s_at	PAPD1	10p11.23	9.315370769	218947_s_at	-0.042791776768921	0.016925607619583	0.001882414268002	0.043883360297030	0.010582627245320	0.016846164169189
26	213310_at	EIF2C2	8q24	8.513180131	213310_at	-0.066482327645517	0.013154732173921	-0.015132837686587	0.047865468464401	0.034218660916592	0.039023868807675
27	224523_s_at	MGC4308	3q12.1	10.639578450	224523_s_at	-0.064379452394156	0.029298406174082	0.089557737698834	-0.014622149095784	-0.019498719542329	0.043080594820013
28	201231_s_at	ENO1	1p36.3-p36.2	12.016576910	201231_s_at	-0.073695319071370	0.035246456020561	0.083523560337719	0.068352657281015	-0.028070853070882	0.069384471650778
29	217901_at	DSG2	18q12.1	7.686699874	217901_at	-0.141881694778884	-0.769319115183691	-0.171581708398096	-0.022472761481269	0.348135209980687	0.320195477897826
30	226936_at	NA	6q22	8.800607029	226936_at	-0.145874150249297	0.025743402601279	-0.074535225294702	-0.100301714192072	-0.059993382698702	-0.001472909134705
31	58696_at	EXOSC4	8q24.3	10.239922200	58696_at	-0.057208301210556	0.016926734375119	0.129016824089999	0.033368804281569	0.004891359298490	0.112208363674493
32	200916_at	TAGLN2	1q21-q25	9.609061472	200916_at	-0.266290589577872	-0.069224715910229	0.096853444094630	0.424324436427597	0.237839969686074	-0.514908361177258
33	201614_s_at	RUVBL1	3q21	9.837007681	201614_s_at	-0.088610378539955	0.067856140989056	0.163659511573872	-0.002773865497466	-0.048283098650316	0.139788354004780
34	200966_x_at	ALDOA	16q22-q24	12.847519870	200966_x_at	-0.044994898749039	0.013838197466151	0.062607589001452	0.180189043971045	-0.004891490582396	0.074952397911570
35	225082_at	CPSF3	2p25.1	10.254197020	225082_at	-0.051514399329816	0.044210467180258	0.026482745723218	0.017846142041214	0.004686888880519	0.039156810051100
36	242488_at	NA	1q43	7.062637865	242488_at	-0.131426661695719	-0.046237424486407	-0.015640559679357	-0.233390128258838	0.301856434305173	-0.125267245293031
37	243011_at	MGC15606	3q12.3	9.004378933	243011_at	-0.078883528507729	0.089068622169582	-0.070773251704555	0.083783135087515	-0.095637918734216	0.111669327359125
38	201105_at	LGALS1	22q13.1	12.243796250	201105_at	-0.116693869706615	-0.119609878487982	0.059006952564152	0.275495624012549	0.083489121675565	0.039835483968699
39	224200_s_at	RAD18	3p25-p24	7.941492773	224200_s_at	-0.066077345360108	0.015836715432610	-0.023377272413808	-0.024368902697594	-0.001413296474178	-0.038373658632108
40	222417_s_at	SNX5	20p11	10.322513850	222417_s_at	-0.050747147307765	0.033422216627111	0.056974636523007	-0.002663006019681	-0.047936522020244	0.072089129372989
41	210460_s_at	PSMD4	1q21.2	11.228506290	210460_s_at	-0.093833757539180	0.036766700625895	0.002234762220168	0.132474929497992	0.028344569276149	-0.012187294847556
42	200750_s_at	RAN	12q24.3	12.259982480	200750_s_at	-0.111027425003178	0.079586711445793	0.082787615002754	0.096544094740066	-0.028641300184654	0.058098272784505
43	206364_at	KIF14	1pter-q31.3	8.025095021	206364_at	-0.199445711067762	-0.007094864214151	-0.156112960363909	-0.124795870397573	-0.005588252142165	-0.080586367139584
44	201091_s_at	CBX3	7p15.2	11.312589670	201091_s_at	-0.055888672449677	0.040104660218941	0.043479282160609	0.017334760348043	-0.007156554596090	0.049845378422745
45	203432_at	TMPO	12q22	10.114977980	203432_at	-0.114773454627194	0.041369317715467	-0.101759044602382	0.031452775941782	-0.032585038873593	0.020855456057019
46	221970_s_at	DKFZP586L0724	17q24.2	10.609007720	221970_s_at	-0.053883272103385	0.031207142126553	0.000086025359305	0.019225361792161	0.008012963603438	0.010205899264527
47	212533_at	WEE1	11p15.3-p15.1	9.075490751	212533_at	-0.213076667811142	0.080867417708207	-0.238342323531704	-0.053243081784202	-0.112699839977326	-0.068459886088787
48	213194_at	ROBO1	3p12	7.622704184	213194_at	-0.105440589827162	-0.481810630036807	0.243407379754627	0.052269823667654	-0.721837256627330	-0.097324328178015
49	244686_at	TCOF1	5q32-q33.1	6.765801151	244686_at	-0.010527150992171	-0.040919487215833	-0.054184252710441	-0.116533764298205	0.024712220478686	-0.085019578722531
50	200638_s_at	YWHAZ	8q23.1	12.703199380	200638_s_at	-0.026471856930860	-0.035983774474692	-0.015021779784809	0.138631297227751	0.000497245876942	0.033916672369534
51	205235_s_at	MPHOSPH1	10q23.31	8.625107310	205235_s_at	-0.122236543692195	-0.006269374317950	-0.142135004951626	-0.084299038738866	-0.077337908197177	-0.000156294375534
-1	201921_at	GNG10	9q31.3	11.544077180	201921_at	0.064720731077860	0.028165913497991	-0.034735684311148	-0.047236228650657	-0.019576293617664	0.029529104590625
-2	227278_at	NA	1p13	10.654515070	227278_at	0.020952557057142	0.015847003347535	-0.038986209306813	0.022037068527660	0.023903165660179	-0.002667460039737
-3	209740_s_at	PNPLA4	Xp22.3	8.307132007	209740_s_at	0.037066332097497	0.018138565347230	0.048716713266427	-0.006238680816427	0.016968976233167	0.030929272927026
-4	227547_at	NA	20q11.21	10.609147860	227547_at	0.036818860759863	-0.003579809801839	-0.015881741464734	-0.051281006572224	0.009532899624902	0.048515395953454
-5	225582_at	KIAA1754	10q25.1	9.995028253	225582_at	0.069239009201205	-0.031005122552077	0.044322725492321	-0.002204411251268	0.031050729845055	-0.021584083847889
-6	200850_s_at	AHCYL1	1p13.2	11.256276690	200850_s_at	0.029936004059030	0.025985154337013	-0.021412095154492	0.071866948769666	-0.000366633363050	-0.057021302899527
-7	213628_at	MCLC	1p13.3	10.971031760	213628_at	0.060646889055870	0.005609837034232	-0.031343807749980	-0.008180110565260	0.030069891808135	-0.003508373751247
-8	209717_at	EVI5	1p22	9.469694224	209717_at	0.072426596844793	0.002821719128269	-0.053735505844036	0.022473966019652	-0.001074013524389	-0.020130803536770
-9	222495_at	AD-020	1p13.3	10.808561520	222495_at	0.078351310576893	0.028624747516553	-0.006789647647670	0.108408177949218	-0.027377420266492	0.009871491112188
-10	1557277_a_at	NA	6p21.31	5.962862537	1557277_a_at	0.050311627208010	-0.085592396520736	-0.056219285258087	-0.378525381925670	-0.036694097540184	-0.264907594097907
-11	1554736_at	PARG1	1p22.1	6.166444889	1554736_at	0.059862491521347	-0.020979976699786	0.168731482843245	-0.214416545373540	0.016666294500131	-0.099968399035589
-12	218924_s_at	CTBS	1p22	10.644594530	218924_s_at	0.054626824873964	0.010367892410743	-0.090782697162793	0.095246674919467	0.039754772178196	-0.018551952652886
-13	226954_at	NA	9p13.2	10.524097930	226954_at	0.034105169192583	0.002292695552044	0.015603305273406	-0.026824414176944	-0.017549757322818	0.034823709604797
-14	202838_at	FUCA1	1p34	11.175424390	202838_at	0.066801845490610	0.024205300800831	-0.016839355591445	0.053797643231345	-0.003382531360124	0.046265354835373
-15	230192_at	RFP2	13q14	8.291927498	230192_at	0.054548019347817	0.077438050770407	-0.024330538042614	-0.058056737719618	-0.100035360189548	0.087816749119260
-16	48106_at	FLJ20489	12q13.11	10.049334920	48106_at	0.039553924430939	0.014590940110328	-0.005259001860875	0.042625042047706	-0.017954907230370	0.032893917547323
-17	237964_at	NA	11q13.1	7.719715582	237964_at	0.052857555454996	-0.073741978181756	0.015489300658906	-0.131363754268920	0.003733940930608	-0.104229114434505
-18	202729_s_at	LTBP1	2p22-p21	10.243503220	202729_s_at	0.079923187846440	0.102338816662335	-0.036625236913027	-0.078641146180903	-0.030444441371454	0.046745670885739
-19	212435_at	NA	1p13.1	10.291931080	212435_at	0.047861668653715	0.037701529392718	-0.045214157356531	-0.006849563067095	-0.001760509442642	-0.047434223906122
